dataset,lang_pair,workflow,workflow_dir,workflow_acronym,model,report_file,sample_idx,sample_id,first_step_name,first_step_order,final_step_name,final_step_order,is_comparable,changed,unchanged,edit_distance,normalized_edit_distance,prev_translation_len_chars,curr_translation_len_chars
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,11,760,initial_translation,0,refinement,1,True,True,False,77,0.006654567453115548,11558,11571
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,12,1519,initial_translation,0,refinement,1,True,True,False,108,0.01191132678945627,9020,9067
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,0,561,zero_shot_translation,0,refinement,8,True,True,False,385,0.05748842765417351,6667,6697
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,1,1449,zero_shot_translation,0,refinement,8,True,True,False,1221,0.17024539877300612,7064,7172
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,2,1504,zero_shot_translation,0,refinement,8,True,True,False,184,0.028912633563796353,6364,6316
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,3,758,zero_shot_translation,0,refinement,8,True,True,False,2272,0.16200798630918425,14024,13787
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,4,155,zero_shot_translation,0,refinement,8,True,True,False,277,0.03546280885930098,7811,7742
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,5,109,zero_shot_translation,0,refinement,8,True,True,False,670,0.035826961125073525,18701,18588
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,6,759,zero_shot_translation,0,refinement,8,True,True,False,989,0.08876323819781008,11142,11004
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,7,424,zero_shot_translation,0,refinement,8,True,True,False,1041,0.08368839938901841,12439,12396
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,8,509,zero_shot_translation,0,refinement,8,True,True,False,667,0.0954766676209562,6904,6986
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,9,810,zero_shot_translation,0,refinement,8,True,True,False,456,0.061306802904006454,7438,7361
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,10,444,zero_shot_translation,0,refinement,8,True,True,False,341,0.044850716822306985,7527,7603
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,11,760,zero_shot_translation,0,refinement,8,True,True,False,1455,0.12457191780821918,11680,11562
dolfin,en_it,MAATS_multi_agents,MAATS_multi,MAATS_multi,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MAATS_multi/gpt-4-1/report.json,12,1519,zero_shot_translation,0,refinement,8,True,True,False,615,0.06818181818181818,9020,8882
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,0,561,translate,0,proofread,2,True,True,False,71,0.010565476190476191,6708,6720
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,1,1449,translate,0,proofread,2,True,True,False,102,0.014513375071143995,7028,7017
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,2,1504,translate,0,proofread,2,True,True,False,76,0.011876855758712298,6387,6399
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,3,758,translate,0,proofread,2,True,True,False,113,0.00804213223258131,14033,14051
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,4,155,translate,0,proofread,2,True,True,False,531,0.06819933213460057,7786,7651
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,5,109,translate,0,proofread,2,True,True,False,217,0.01161110813847718,18681,18689
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,6,759,translate,0,proofread,2,True,True,False,529,0.047894975101856044,10997,11045
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,7,424,translate,0,proofread,2,True,True,False,149,0.011962106615285807,12456,12385
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,8,509,translate,0,proofread,2,True,True,False,349,0.04955978415222948,6933,7042
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,9,810,translate,0,proofread,2,True,True,False,466,0.0625671321160043,7391,7448
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,10,444,translate,0,proofread,2,True,True,False,193,0.025586636616730742,7532,7543
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,11,760,translate,0,proofread,2,True,True,False,590,0.050609023846285815,11658,11481
dolfin,en_it,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/MaMT/gpt-4-1/report_100_samples.json,12,1519,translate,0,proofread,2,True,True,False,66,0.0073041168658698535,9028,9036
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,0,561,draft,1,proofread,3,True,True,False,48,0.007128007128007128,6723,6734
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,1,1449,draft,1,proofread,3,True,True,False,177,0.025106382978723404,7050,6967
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,2,1504,draft,1,proofread,3,True,True,False,286,0.044792482380579486,6382,6385
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,3,758,draft,1,proofread,3,True,True,False,166,0.011758872281646243,14117,14057
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,4,155,draft,1,proofread,3,True,True,False,84,0.010878010878010878,7722,7698
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,5,109,draft,1,proofread,3,True,True,False,113,0.0060048889361249864,18818,18736
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,6,759,draft,1,proofread,3,True,True,False,98,0.00890909090909091,11000,10971
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,7,424,draft,1,proofread,3,True,True,False,247,0.019840951080408065,12273,12449
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,8,509,draft,1,proofread,3,True,True,False,84,0.012262773722627737,6850,6834
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,9,810,draft,1,proofread,3,True,True,False,135,0.018235850330946914,7403,7330
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,10,444,draft,1,proofread,3,True,True,False,98,0.013131448479163876,7450,7463
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,11,760,draft,1,proofread,3,True,True,False,252,0.02175977894827735,11581,11561
dolfin,en_it,SbS_chat_step_by_step,SbS_chat,SbS_chat,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/SbS_chat/gpt-4-1/report.json,12,1519,draft,1,proofread,3,True,True,False,251,0.027997769102063582,8956,8965
