dataset,lang_pair,workflow,workflow_dir,workflow_acronym,model,report_file,sample_idx,sample_id,transition_order,prev_step_name,curr_step_name,prev_agent_type,curr_agent_type,prev_translation_mode,curr_translation_mode,is_comparable,changed,unchanged,edit_distance,normalized_edit_distance,prev_translation_len_chars,curr_translation_len_chars
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,9,2658,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,50,0.006345177664974619,7880,7852
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,10,2119,1,translate,postedit,translate,postedit,direct,direct,True,True,False,124,0.016539949313058556,7408,7497
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,10,2119,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,63,0.008403361344537815,7497,7454
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,11,1962,1,translate,postedit,translate,postedit,direct,direct,True,True,False,525,0.07488232777064613,7011,6787
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,11,1962,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,486,0.06988783433994823,6787,6954
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,12,1874,1,translate,postedit,translate,postedit,direct,direct,True,True,False,529,0.05488690599709483,9434,9638
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,12,1874,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,421,0.04368126167254617,9638,9395
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,13,1987,1,translate,postedit,translate,postedit,direct,direct,True,True,False,324,0.04665898617511521,6880,6944
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,13,1987,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,198,0.028513824884792628,6944,6895
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,14,2941,1,translate,postedit,translate,postedit,direct,direct,True,True,False,292,0.02356358941252421,12334,12392
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,14,2941,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,504,0.040671400903808906,12392,12123
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,15,2260,1,translate,postedit,translate,postedit,direct,direct,True,True,False,271,0.03393863494051346,7935,7985
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,15,2260,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,136,0.017031934877896057,7985,7927
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,16,2608,1,translate,postedit,translate,postedit,direct,direct,True,True,False,145,0.01836372847011145,7853,7896
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,16,2608,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,188,0.023809523809523808,7896,7850
